Date,Round,Rounds / Month,Month,Year,"Cumulative Strokes",Course,Hole,Club,Type,Dist.,Par,"Feet to YardConversion",Distance Range,Shot Distance,PGA Strokes Remaining,Strokes Gained on PGA,"%Gain",Strokes Gained on my Average,"%Gain2",Proximity Percentage compared to start distance,Green Hit,Fairway Hit,Strokes / Hole,GIR,GIRP,Par Comp.,Albatros,Eagle,Birdie,Par3,Bogey,Double Bogey,Double Bogey +,Putts per hole,Score per hole,Score per round,Pick up score,Notes
31/03/2018,1,1,3,2018,1,Lahinch (G),1,D,TEE SHOT,380,4,380,380 - 399 yards,233,3.96,-0.218,-0.218,-0.043565598,-0.043565598,0.386842105,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,2,Lahinch (G),1,7I,ROUGH,147,,147,140 - 159 yards,137,3.178,-0.002,-0.002,0.099061441,0.099061441,0.068027211,0,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,3,Lahinch (G),1,P,FAIRWAY,10,,10,0 - 19 yards,9.333333333,2.18,0.17,0.17,0.247346939,0.247346939,0.066666667,1,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,4,Lahinch (G),1,P,GREEN,2,4,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,0,,0,,,,1,,,,1,4,,0,0
31/03/2018,1,1,3,2018,5,Lahinch (G),2,D,TEE SHOT,466,5,466,460 - 479 yards,276,4.203,-0.642,-0.642,-0.467565598,-0.467565598,0.407725322,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,6,Lahinch (G),2,7I,RECOVERY,190,,190,180 - 199 yards,5,3.845,-0.9875,-0.9875,-0.787676471,-0.787676471,0.973684211,0,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,7,Lahinch (G),2,60,RECOVERY,185,,185,180 - 199 yards,79,3.8325,-0.2055,-0.2055,-0.005676471,-0.005676471,0.572972973,0,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,8,Lahinch (G),2,54,ROUGH,106,,106,100 - 119 yards,96.66666667,3.038,0.078,0.078,0.179061441,0.179061441,0.088050314,1,,4,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,9,Lahinch (G),2,P,GREEN,28,,9.333333333,21-30,7,1.96,-0.46,-0.46,-0.359221393,-0.359221393,0.25,,,5,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,10,Lahinch (G),2,P,GREEN,7,,2.333333333,7,2,1.42,-0.59,-0.59,-0.489221393,-0.489221393,0.142857143,,,6,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,11,Lahinch (G),2,P,GREEN,1,5,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,7,0,1,2,,,,,,1,,3,7,,0,0
31/03/2018,1,1,3,2018,12,Lahinch (G),3,D,TEE SHOT,377,4,377,360 - 379 yards,219,3.954,-0.019,-0.019,0.155434402,0.155434402,0.419098143,0,1,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,13,Lahinch (G),3,7I,FAIRWAY,158,,158,140 - 159 yards,148.6666667,2.973,0.013,0.013,0.090346939,0.090346939,0.05907173,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,14,Lahinch (G),3,P,GREEN,28,,9.333333333,21-30,8,1.96,-0.17,-0.17,-0.069221393,-0.069221393,0.142857143,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,15,Lahinch (G),3,P,GREEN,4,4,1.333333333,4,1.333333333,1.13,0.13,0.13,0.230778607,0.230778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,16,Lahinch (G),4,D,TEE SHOT,465,5,465,460 - 479 yards,237,4.1975,-0.1745,-0.1745,-6.56E-05,-6.56E-05,0.490322581,0,1,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,17,Lahinch (G),4,7I,FAIRWAY,228,,228,220 - 239 yards,180,3.372,-0.268,-0.268,-0.190653061,-0.190653061,0.210526316,0,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,18,Lahinch (G),4,60,FAIRWAY,48,,48,40 - 59 yards,42,2.64,-0.2075,-0.2075,-0.130153061,-0.130153061,0.125,1,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,19,Lahinch (G),4,P,GREEN,18,,6,16-20,5,1.8475,-0.1925,-0.1925,-0.091721393,-0.091721393,0.166666667,,,4,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,20,Lahinch (G),4,P,GREEN,3,5,1,3,1,1.04,0.04,0.04,0.140778607,0.140778607,0,,,5,1,1,0,,,,1,,,,2,5,,0,0
31/03/2018,1,1,3,2018,21,Lahinch (G),5,PW,TEE SHOT,134,3,134,120 - 139 yards,120,2.976,-0.468,-0.468,-0.293565598,-0.293565598,0.104477612,0,,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,22,Lahinch (G),5,60,ROUGH,14,,14,0 - 19 yards,13.33333333,2.444,0.434,0.434,0.535061441,0.535061441,0.047619048,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,23,Lahinch (G),5,P,GREEN,2,3,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,3,0,1,0,,,,1,,,,1,3,,0,0
31/03/2018,1,1,3,2018,24,Lahinch (G),6,D,TEE SHOT,356,4,356,340 - 359 yards,208,3.908,-0.274,-0.274,-0.099565598,-0.099565598,0.415730337,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,25,Lahinch (G),6,PW,ROUGH,148,,148,140 - 159 yards,139.6666667,3.182,0.252,0.252,0.353061441,0.353061441,0.056306306,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,26,Lahinch (G),6,P,GREEN,25,,8.333333333,21-30,7.666666667,1.93,-0.08,-0.08,0.020778607,0.020778607,0.08,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,27,Lahinch (G),6,P,GREEN,2,4,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,28,Lahinch (G),7,3W,TEE SHOT,346,4,346,340 - 359 yards,203,3.878,-0.284,-0.284,-0.109565598,-0.109565598,0.413294798,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,29,Lahinch (G),7,8I,ROUGH,143,,143,140 - 159 yards,135.6666667,3.162,0.268,0.268,0.369061441,0.369061441,0.051282051,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,30,Lahinch (G),7,P,GREEN,22,,7.333333333,21-30,6.333333333,1.894,-0.146,-0.146,-0.045221393,-0.045221393,0.136363636,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,31,Lahinch (G),7,P,GREEN,3,4,1,3,1,1.04,0.04,0.04,0.140778607,0.140778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,32,Lahinch (G),8,8I,TEE SHOT,156,3,156,140 - 159 yards,150,2.986,0.1385,0.1385,0.312934402,0.312934402,0.038461538,1,,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,33,Lahinch (G),8,P,GREEN,18,,6,16-20,5.333333333,1.8475,-0.1625,-0.1625,-0.061721393,-0.061721393,0.111111111,,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,34,Lahinch (G),8,P,GREEN,2,3,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,3,1,1,0,,,,1,,,,2,3,,0,0
31/03/2018,1,1,3,2018,35,Lahinch (G),9,D,TEE SHOT,355,4,355,340 - 359 yards,259,3.905,-0.103,-0.103,0.071434402,0.071434402,0.270422535,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,36,Lahinch (G),9,54,ROUGH,96,,96,80 - 99 yards,94.33333333,3.008,0.778,0.778,0.879061441,0.879061441,0.017361111,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,37,Lahinch (G),9,P,GREEN,5,,1.666666667,5,1.333333333,1.23,-0.78,-0.78,-0.679221393,-0.679221393,0.2,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,38,Lahinch (G),9,P,GREEN,1,4,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,39,Lahinch (G),10,D,TEE SHOT,387,4,387,380 - 399 yards,211,3.9705,-0.0895,-0.0895,0.084934402,0.084934402,0.454780362,0,1,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,40,Lahinch (G),10,5I,FAIRWAY,176,,176,160 - 179 yards,170.3333333,3.06,0.235,0.235,0.312346939,0.312346939,0.03219697,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,41,Lahinch (G),10,P,GREEN,17,,5.666666667,16-20,5,1.825,-0.185,-0.185,-0.084221393,-0.084221393,0.117647059,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,42,Lahinch (G),10,P,GREEN,2,4,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,43,Lahinch (G),11,PW,TEE SHOT,132,3,132,120 - 139 yards,129.3333333,2.978,0.478,0.478,0.652434402,0.652434402,0.02020202,1,,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,44,Lahinch (G),11,P,GREEN,8,,2.666666667,8,2.333333333,1.5,-0.51,-0.51,-0.409221393,-0.409221393,0.125,,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,45,Lahinch (G),11,P,GREEN,1,3,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,3,1,1,0,,,,1,,,,2,3,,0,0
31/03/2018,1,1,3,2018,46,Lahinch (G),12,D,TEE SHOT,469,5,469,460 - 479 yards,235,4.2195,-0.3875,-0.3875,-0.213065598,-0.213065598,0.498933902,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,47,Lahinch (G),12,4I,ROUGH,234,,234,220 - 239 yards,186,3.607,-0.225,-0.225,-0.123938559,-0.123938559,0.205128205,0,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,48,Lahinch (G),12,60,ROUGH,48,,48,40 - 59 yards,32,2.832,-0.48,-0.48,-0.378938559,-0.378938559,0.333333333,0,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,49,Lahinch (G),12,P,FAIRWAY,16,,16,0 - 19 yards,14,2.312,-0.028,-0.028,0.049346939,0.049346939,0.125,1,,4,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,50,Lahinch (G),12,P,GREEN,6,5,2,6,2,1.34,0.34,0.34,0.440778607,0.440778607,0,,,5,0,1,0,,,,1,,,,1,5,,0,0
31/03/2018,1,1,3,2018,51,Lahinch (G),13,D,TEE SHOT,267,4,267,260 - 279 yards,244,3.52,0.09,0.09,0.264434402,0.264434402,0.086142322,0,1,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,52,Lahinch (G),13,60,FAIRWAY,23,,23,20 - 39 yards,20.66666667,2.43,0.01,0.01,0.087346939,0.087346939,0.101449275,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,53,Lahinch (G),13,P,GREEN,7,,2.333333333,7,2,1.42,-0.59,-0.59,-0.489221393,-0.489221393,0.142857143,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,54,Lahinch (G),13,P,GREEN,1,4,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,55,Lahinch (G),14,D,TEE SHOT,400,4,400,400 - 419 yards,231,3.99,-0.276,-0.276,-0.101565598,-0.101565598,0.4225,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,56,Lahinch (G),14,7I,ROUGH,169,,169,160 - 179 yards,154.3333333,3.266,0.174,0.174,0.275061441,0.275061441,0.08678501,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,57,Lahinch (G),14,P,GREEN,44,,14.66666667,41-60,13.33333333,2.092,-0.038,-0.038,0.062778607,0.062778607,0.090909091,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,58,Lahinch (G),14,P,GREEN,4,4,1.333333333,4,1.333333333,1.13,0.13,0.13,0.230778607,0.230778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,59,Lahinch (G),15,D,TEE SHOT,390,4,390,380 - 399 yards,193,3.975,-0.1985,-0.1985,-0.024065598,-0.024065598,0.505128205,0,1,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,60,Lahinch (G),15,3W,FAIRWAY,197,,197,180 - 199 yards,179,3.1735,-0.3365,-0.3365,-0.259153061,-0.259153061,0.091370558,0,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,61,Lahinch (G),15,60,SAND,18,,18,0 - 19 yards,8,2.51,-0.67,-0.67,-0.447974359,-0.447974359,0.555555556,0,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,62,Lahinch (G),15,P,FAIRWAY,10,,10,0 - 19 yards,7.666666667,2.18,-0.24,-0.24,-0.162653061,-0.162653061,0.233333333,1,,4,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,63,Lahinch (G),15,P,GREEN,7,4,2.333333333,7,2.333333333,1.42,0.42,0.42,0.520778607,0.520778607,0,,,5,0,0,1,,,,,1,,,1,5,,0,0
31/03/2018,1,1,3,2018,64,Lahinch (G),16,8I,TEE SHOT,192,3,192,180 - 199 yards,183.6666667,3.092,0.162,0.162,0.336434402,0.336434402,0.043402778,1,,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,65,Lahinch (G),16,P,GREEN,25,,8.333333333,21-30,8,1.93,-0.08,-0.08,0.020778607,0.020778607,0.04,,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,66,Lahinch (G),16,P,GREEN,1,3,0.333333333,1,0.333333333,1.01,0.01,0.01,0.110778607,0.110778607,0,,,3,1,1,0,,,,1,,,,2,3,,0,0
31/03/2018,1,1,3,2018,67,Lahinch (G),17,D,TEE SHOT,366,4,366,360 - 379 yards,252,3.932,-0.13,-0.13,0.044434402,0.044434402,0.31147541,0,0,1,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,68,Lahinch (G),17,54,ROUGH,114,,114,100 - 119 yards,105.6666667,3.062,0.132,0.132,0.233061441,0.233061441,0.073099415,1,,2,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,69,Lahinch (G),17,P,GREEN,25,,8.333333333,21-30,7.666666667,1.93,-0.08,-0.08,0.020778607,0.020778607,0.08,,,3,,,,,,,,,,,,,,0,0
31/03/2018,1,1,3,2018,70,Lahinch (G),17,P,GREEN,2,4,0.666666667,2,0.666666667,1.01,0.01,0.01,0.110778607,0.110778607,0,,,4,1,1,0,,,,1,,,,2,4,,0,0
31/03/2018,1,1,3,2018,71,Lahinch (G),18,D,TEE SHOT,487,5,487,480 - 499 yards,238,4.3255,-0.183,-0.183,-0.008565598,-0.008565598,0.511293634,0,1,1,,,,,,,,,,,,,,0,0
